,caseid,Country code and phase,Cluster number,Household number,Respondent's line number ,Ultimate area unit,Women's individual sample weight (6 decimals),Month of interview,Year of interview,Date of interview (CMC),Respondent's month of birth,Respondent's year of birth,Date of birth (CMC),Respondent's current age,Age in 5-year groups,Total children ever born,Sons at home,Daughters at home,Sons elsewhere,Daughters elsewhere,Sons who have died,Daughters who have died
5044,129 21  9,ZZ6,129,21,9,129,317046,8,2015,1388,4,1977,928,38,35-39,5,0,0,1,4,0,0
5045,129 21 10,ZZ6,129,21,10,129,317046,8,2015,1388,6,1975,906,40,40-44,6,0,0,2,3,0,1
5046,129 22  2,ZZ6,129,22,2,129,317046,8,2015,1388,3,1985,1023,30,30-34,2,1,1,0,0,0,0
5047,129 23  2,ZZ6,129,23,2,129,317046,8,2015,1388,5,1985,1025,30,30-34,2,0,2,0,0,0,0
5048,129 23  3,ZZ6,129,23,3,129,317046,8,2015,1388,3,2000,1203,15,15-19,0,0,0,0,0,0,0
5049,129 24  2,ZZ6,129,24,2,129,317046,8,2015,1388,3,1980,963,35,35-39,4,1,3,0,0,0,0
5050,129 25  2,ZZ6,129,25,2,129,317046,8,2015,1388,7,1968,823,47,45-49,9,2,4,1,0,2,0
5051,129 25  3,ZZ6,129,25,3,129,317046,8,2015,1388,6,1990,1086,25,25-29,1,1,0,0,0,0,0
5052,129 26  2,ZZ6,129,26,2,129,317046,8,2015,1388,3,1975,903,40,40-44,2,0,2,0,0,0,0
5053,129 26  3,ZZ6,129,26,3,129,317046,8,2015,1388,5,1977,929,38,35-39,8,0,0,1,4,3,0
5054,129 26  4,ZZ6,129,26,4,129,317046,8,2015,1388,3,1978,939,37,35-39,3,3,0,0,0,0,0
5055,129 27  2,ZZ6,129,27,2,129,317046,8,2015,1388,3,1967,807,48,45-49,9,6,0,0,0,0,3
5056,129 28  2,ZZ6,129,28,2,129,317046,8,2015,1388,7,1994,1135,21,20-24,1,0,0,0,0,1,0
5057,129 29  2,ZZ6,129,29,2,129,317046,8,2015,1388,4,1970,844,45,45-49,6,1,0,1,0,2,2
5058,129 29  4,ZZ6,129,29,4,129,317046,8,2015,1388,7,2000,1207,15,15-19,0,0,0,0,0,0,0
5059,129 30  2,ZZ6,129,30,2,129,317046,8,2015,1388,7,1982,991,33,30-34,5,3,1,0,0,0,1
5060,129 31  2,ZZ6,129,31,2,129,317046,8,2015,1388,3,1971,855,44,40-44,6,3,2,0,0,1,0
5061,130  2  1,ZZ6,130,2,1,130,690648,8,2015,1388,5,1988,1061,27,25-29,2,2,0,0,0,0,0
5062,130  2  5,ZZ6,130,2,5,130,690648,8,2015,1388,4,2000,1204,15,15-19,0,0,0,0,0,0,0
5063,130  2  8,ZZ6,130,2,8,130,690648,8,2015,1388,3,1970,843,45,45-49,9,0,1,5,3,0,0
5064,130  2  9,ZZ6,130,2,9,130,690648,8,2015,1388,1,1990,1081,25,25-29,2,1,0,0,1,0,0
5065,130  3  2,ZZ6,130,3,2,130,690648,8,2015,1388,2,1990,1082,25,25-29,2,1,0,0,1,0,0
5066,130  3  4,ZZ6,130,3,4,130,690648,8,2015,1388,10,1998,1186,16,15-19,0,0,0,0,0,0,0
5067,130  4  1,ZZ6,130,4,1,130,690648,8,2015,1388,2,1967,806,48,45-49,5,1,0,3,1,0,0
5068,130  5  1,ZZ6,130,5,1,130,690648,8,2015,1388,3,1993,1119,22,20-24,2,2,0,0,0,0,0
5069,130  5  6,ZZ6,130,5,6,130,690648,8,2015,1388,5,1993,1121,22,20-24,0,0,0,0,0,0,0
5070,130  6  2,ZZ6,130,6,2,130,690648,8,2015,1388,6,1987,1050,28,25-29,0,0,0,0,0,0,0
5071,130  7  2,ZZ6,130,7,2,130,690648,8,2015,1388,12,1991,1104,23,20-24,1,0,1,0,0,0,0
5072,130  9  2,ZZ6,130,9,2,130,690648,8,2015,1388,5,1995,1145,20,20-24,0,0,0,0,0,0,0
5073,130 11  1,ZZ6,130,11,1,130,690648,8,2015,1388,7,1997,1171,18,15-19,1,0,1,0,0,0,0
5074,130 12  2,ZZ6,130,12,2,130,690648,8,2015,1388,9,1989,1077,25,25-29,3,3,0,0,0,0,0
5075,130 13  2,ZZ6,130,13,2,130,690648,8,2015,1388,4,1991,1096,24,20-24,3,1,2,0,0,0,0
5076,130 14  3,ZZ6,130,14,3,130,690648,8,2015,1388,4,1997,1168,18,15-19,0,0,0,0,0,0,0
5077,130 14  4,ZZ6,130,14,4,130,690648,8,2015,1388,2,2000,1202,15,15-19,0,0,0,0,0,0,0
5078,130 14 12,ZZ6,130,14,12,130,690648,8,2015,1388,1,2000,1201,15,15-19,0,0,0,0,0,0,0
5079,130 16  2,ZZ6,130,16,2,130,690648,8,2015,1388,1,1997,1165,18,15-19,0,0,0,0,0,0,0
5080,130 18  1,ZZ6,130,18,1,130,690648,8,2015,1388,3,1986,1035,29,25-29,3,1,2,0,0,0,0
5081,130 19  1,ZZ6,130,19,1,130,690648,8,2015,1388,8,1975,908,40,40-44,6,0,3,1,1,1,0
5082,130 19  3,ZZ6,130,19,3,130,690648,8,2015,1388,12,1982,996,32,30-34,1,1,0,0,0,0,0
5083,130 19  4,ZZ6,130,19,4,130,690648,8,2015,1388,4,2000,1204,15,15-19,0,0,0,0,0,0,0
5084,130 21  1,ZZ6,130,21,1,130,690648,8,2015,1388,1,1967,805,48,45-49,5,2,0,0,2,0,1
5085,130 21  6,ZZ6,130,21,6,130,690648,8,2015,1388,4,1973,880,42,40-44,2,0,0,1,1,0,0
5086,130 21  8,ZZ6,130,21,8,130,690648,8,2015,1388,10,1996,1162,18,15-19,0,0,0,0,0,0,0
5087,130 21  9,ZZ6,130,21,9,130,690648,8,2015,1388,8,1993,1124,22,20-24,0,0,0,0,0,0,0
5088,130 21 10,ZZ6,130,21,10,130,690648,8,2015,1388,2,1989,1070,26,25-29,2,0,0,0,1,0,1
5089,130 21 12,ZZ6,130,21,12,130,690648,8,2015,1388,4,2000,1204,15,15-19,0,0,0,0,0,0,0
5090,130 22  1,ZZ6,130,22,1,130,690648,8,2015,1388,1,1980,961,35,35-39,2,0,0,0,1,1,0
5091,130 23  2,ZZ6,130,23,2,130,690648,8,2015,1388,3,1977,927,38,35-39,5,0,2,0,1,1,1
5092,130 23  3,ZZ6,130,23,3,130,690648,8,2015,1388,4,1980,964,35,35-39,5,1,1,2,1,0,0
5093,130 24  1,ZZ6,130,24,1,130,690648,8,2015,1388,10,1984,1018,30,30-34,4,1,3,0,0,0,0
5094,130 24  3,ZZ6,130,24,3,130,690648,8,2015,1388,12,1979,960,35,35-39,6,0,4,0,0,2,0
5095,130 24  8,ZZ6,130,24,8,130,690648,8,2015,1388,5,1998,1181,17,15-19,0,0,0,0,0,0,0
5096,130 25  1,ZZ6,130,25,1,130,690648,8,2015,1388,11,1984,1019,30,30-34,2,1,1,0,0,0,0
5097,130 25  2,ZZ6,130,25,2,130,690648,8,2015,1388,11,1995,1151,19,15-19,0,0,0,0,0,0,0
5098,130 25  6,ZZ6,130,25,6,130,690648,8,2015,1388,7,1982,991,33,30-34,2,0,0,0,2,0,0
5099,130 25  7,ZZ6,130,25,7,130,690648,8,2015,1388,1,1984,1009,31,30-34,2,1,0,0,0,1,0
5100,130 26  4,ZZ6,130,26,4,130,690648,8,2015,1388,2,2000,1202,15,15-19,0,0,0,0,0,0,0
5101,130 27  1,ZZ6,130,27,1,130,690648,8,2015,1388,7,1970,847,45,45-49,6,4,0,0,1,1,0
5102,130 28  1,ZZ6,130,28,1,130,690648,8,2015,1388,7,1997,1171,18,15-19,0,0,0,0,0,0,0
5103,130 29  1,ZZ6,130,29,1,130,690648,8,2015,1388,7,1980,967,35,35-39,7,2,2,0,1,0,2
5104,130 29  3,ZZ6,130,29,3,130,690648,8,2015,1388,4,2000,1204,15,15-19,0,0,0,0,0,0,0
5105,130 29  7,ZZ6,130,29,7,130,690648,8,2015,1388,11,1999,1199,15,15-19,0,0,0,0,0,0,0
5106,130 30  1,ZZ6,130,30,1,130,690648,8,2015,1388,4,1967,808,48,45-49,8,1,0,1,2,2,2
5107,130 31  1,ZZ6,130,31,1,130,690648,8,2015,1388,4,1990,1084,25,25-29,3,1,0,0,0,0,2
5108,130 31  6,ZZ6,130,31,6,130,690648,8,2015,1388,3,1998,1179,17,15-19,0,0,0,0,0,0,0
5109,131  1  3,ZZ6,131,1,3,131,145786,6,2015,1386,2,1993,1118,22,20-24,1,0,1,0,0,0,0
5110,131  2  2,ZZ6,131,2,2,131,145786,6,2015,1386,1,1984,1009,31,30-34,7,3,2,0,2,0,0
5111,131  3  2,ZZ6,131,3,2,131,145786,6,2015,1386,4,1980,964,35,35-39,0,0,0,0,0,0,0
5112,131  4  2,ZZ6,131,4,2,131,145786,6,2015,1386,3,1975,903,40,40-44,8,0,0,1,6,0,1
5113,131  6  2,ZZ6,131,6,2,131,145786,6,2015,1386,1,1992,1105,23,20-24,0,0,0,0,0,0,0
5114,131  7  2,ZZ6,131,7,2,131,145786,6,2015,1386,3,1985,1023,30,30-34,5,2,0,0,0,2,1
5115,131  8  2,ZZ6,131,8,2,131,145786,6,2015,1386,4,1999,1192,16,15-19,0,0,0,0,0,0,0
5116,131  9  2,ZZ6,131,9,2,131,145786,6,2015,1386,2,1995,1142,20,20-24,2,1,1,0,0,0,0
5117,131 11  3,ZZ6,131,11,3,131,145786,6,2015,1386,5,1992,1109,23,20-24,1,1,0,0,0,0,0
5118,131 13  1,ZZ6,131,13,1,131,145786,6,2015,1386,2,1970,842,45,45-49,4,0,1,2,1,0,0
5119,131 13  4,ZZ6,131,13,4,131,145786,6,2015,1386,3,1990,1083,25,25-29,4,0,0,1,3,0,0
5120,131 14  4,ZZ6,131,14,4,131,145786,6,2015,1386,4,1990,1084,25,25-29,2,0,0,0,2,0,0
5121,131 19  1,ZZ6,131,19,1,131,145786,6,2015,1386,6,1975,906,40,40-44,4,1,0,0,2,1,0
5122,131 20  2,ZZ6,131,20,2,131,145786,6,2015,1386,4,1977,928,38,35-39,2,0,2,0,0,0,0
5123,131 21  4,ZZ6,131,21,4,131,145786,6,2015,1386,8,1997,1172,17,15-19,2,1,1,0,0,0,0
5124,131 22  2,ZZ6,131,22,2,131,145786,6,2015,1386,2,1980,962,35,35-39,0,0,0,0,0,0,0
5125,131 24  2,ZZ6,131,24,2,131,145786,6,2015,1386,3,1985,1023,30,30-34,2,0,2,0,0,0,0
5126,131 25  2,ZZ6,131,25,2,131,145786,6,2015,1386,1,1978,937,37,35-39,1,0,0,1,0,0,0
5127,131 26  2,ZZ6,131,26,2,131,145786,6,2015,1386,6,1995,1146,20,20-24,1,1,0,0,0,0,0
5128,131 26  3,ZZ6,131,26,3,131,145786,6,2015,1386,3,1987,1047,28,25-29,2,0,0,1,1,0,0
5129,131 29  3,ZZ6,131,29,3,131,145786,6,2015,1386,3,1999,1191,16,15-19,0,0,0,0,0,0,0
5130,131 30  2,ZZ6,131,30,2,131,145786,6,2015,1386,10,1971,862,43,40-44,7,1,0,4,2,0,0
5131,131 31  8,ZZ6,131,31,8,131,145786,6,2015,1386,5,1975,905,40,40-44,8,1,0,1,4,1,1
5132,131 31  9,ZZ6,131,31,9,131,145786,6,2015,1386,3,1990,1083,25,25-29,2,1,0,1,0,0,0
5133,132  1  3,ZZ6,132,1,3,132,1633014,9,2015,1389,3,1991,1095,24,20-24,2,1,1,0,0,0,0
5134,132  2  2,ZZ6,132,2,2,132,1633014,9,2015,1389,6,1985,1026,30,30-34,4,0,2,1,1,0,0
5135,132  2  5,ZZ6,132,2,5,132,1633014,9,2015,1389,2,1993,1118,22,20-24,0,0,0,0,0,0,0
5136,132  3  2,ZZ6,132,3,2,132,1633014,9,2015,1389,3,1983,999,32,30-34,6,2,4,0,0,0,0
5137,132  4  1,ZZ6,132,4,1,132,1633014,9,2015,1389,6,1977,930,38,35-39,9,3,1,0,3,1,1
5138,132  5  1,ZZ6,132,5,1,132,1633014,9,2015,1389,1,1975,901,40,40-44,5,2,0,0,3,0,0
5139,132  5  4,ZZ6,132,5,4,132,1633014,9,2015,1389,4,1987,1048,28,25-29,3,2,1,0,0,0,0
5140,132  6  3,ZZ6,132,6,3,132,1633014,9,2015,1389,1,1988,1057,27,25-29,0,0,0,0,0,0,0
5141,132  7  2,ZZ6,132,7,2,132,1633014,9,2015,1389,4,1995,1144,20,20-24,2,0,1,0,0,0,1
5142,132  7  6,ZZ6,132,7,6,132,1633014,9,2015,1389,7,1985,1027,30,30-34,4,1,1,0,0,1,1
5143,132  8  5,ZZ6,132,8,5,132,1633014,9,2015,1389,9,1980,969,35,35-39,3,0,1,0,0,2,0
5144,132  9  4,ZZ6,132,9,4,132,1633014,9,2015,1389,9,1995,1149,20,20-24,2,0,1,1,0,0,0
5145,132  9  6,ZZ6,132,9,6,132,1633014,9,2015,1389,5,1996,1157,19,15-19,1,0,1,0,0,0,0
5146,132 10  2,ZZ6,132,10,2,132,1633014,9,2015,1389,5,1980,965,35,35-39,2,1,1,0,0,0,0
5147,132 11  2,ZZ6,132,11,2,132,1633014,9,2015,1389,3,1988,1059,27,25-29,2,1,1,0,0,0,0
5148,132 11  6,ZZ6,132,11,6,132,1633014,9,2015,1389,6,1996,1158,19,15-19,0,0,0,0,0,0,0
5149,132 13  2,ZZ6,132,13,2,132,1633014,9,2015,1389,7,1975,907,40,40-44,4,1,2,0,1,0,0
5150,132 13  3,ZZ6,132,13,3,132,1633014,9,2015,1389,2,1979,950,36,35-39,5,3,2,0,0,0,0
5151,132 13  4,ZZ6,132,13,4,132,1633014,9,2015,1389,3,2000,1203,15,15-19,0,0,0,0,0,0,0
5152,132 13 13,ZZ6,132,13,13,132,1633014,9,2015,1389,4,1998,1180,17,15-19,0,0,0,0,0,0,0
5153,132 14  2,ZZ6,132,14,2,132,1633014,9,2015,1389,5,1985,1025,30,30-34,2,0,0,2,0,0,0
5154,132 14  3,ZZ6,132,14,3,132,1633014,9,2015,1389,4,1980,964,35,35-39,5,1,0,0,4,0,0
5155,132 15  2,ZZ6,132,15,2,132,1633014,9,2015,1389,1,1976,913,39,35-39,5,4,1,0,0,0,0
5156,132 16  2,ZZ6,132,16,2,132,1633014,9,2015,1389,1,1993,1117,22,20-24,2,2,0,0,0,0,0
5157,132 17  2,ZZ6,132,17,2,132,1633014,9,2015,1389,5,1995,1145,20,20-24,1,0,1,0,0,0,0
5158,132 18  2,ZZ6,132,18,2,132,1633014,9,2015,1389,1,1976,913,39,35-39,4,2,0,0,2,0,0
5159,132 18  5,ZZ6,132,18,5,132,1633014,9,2015,1389,7,1998,1183,17,15-19,0,0,0,0,0,0,0
5160,132 19  3,ZZ6,132,19,3,132,1633014,9,2015,1389,2,1985,1022,30,30-34,1,0,1,0,0,0,0
5161,132 20  2,ZZ6,132,20,2,132,1633014,9,2015,1389,8,1990,1088,25,25-29,2,2,0,0,0,0,0
5162,132 21  2,ZZ6,132,21,2,132,1633014,9,2015,1389,4,1995,1144,20,20-24,1,0,1,0,0,0,0
5163,132 21  5,ZZ6,132,21,5,132,1633014,9,2015,1389,3,1968,819,47,45-49,6,0,0,4,2,0,0
5164,132 22  2,ZZ6,132,22,2,132,1633014,9,2015,1389,7,1990,1087,25,25-29,1,0,1,0,0,0,0
5165,132 22  5,ZZ6,132,22,5,132,1633014,9,2015,1389,7,1991,1099,24,20-24,2,2,0,0,0,0,0
5166,132 23  4,ZZ6,132,23,4,132,1633014,9,2015,1389,6,1990,1086,25,25-29,2,2,0,0,0,0,0
5167,132 23  5,ZZ6,132,23,5,132,1633014,9,2015,1389,5,2000,1205,15,15-19,0,0,0,0,0,0,0
5168,132 23  6,ZZ6,132,23,6,132,1633014,9,2015,1389,6,1998,1182,17,15-19,0,0,0,0,0,0,0
5169,132 23  7,ZZ6,132,23,7,132,1633014,9,2015,1389,5,1993,1121,22,20-24,0,0,0,0,0,0,0
5170,132 24  3,ZZ6,132,24,3,132,1633014,9,2015,1389,8,1975,908,40,40-44,3,1,0,0,0,1,1
5171,132 24  4,ZZ6,132,24,4,132,1633014,9,2015,1389,5,1979,953,36,35-39,4,0,4,0,0,0,0
5172,132 25  3,ZZ6,132,25,3,132,1633014,9,2015,1389,2,1988,1058,27,25-29,3,1,2,0,0,0,0
5173,132 26  2,ZZ6,132,26,2,132,1633014,9,2015,1389,3,1985,1023,30,30-34,2,0,2,0,0,0,0
5174,132 26  3,ZZ6,132,26,3,132,1633014,9,2015,1389,6,1980,966,35,35-39,7,1,2,1,1,1,1
5175,132 27  3,ZZ6,132,27,3,132,1633014,9,2015,1389,3,1997,1167,18,15-19,0,0,0,0,0,0,0
5176,132 28  2,ZZ6,132,28,2,132,1633014,9,2015,1389,9,1987,1053,28,25-29,2,2,0,0,0,0,0
5177,132 29  1,ZZ6,132,29,1,132,1633014,9,2015,1389,3,1967,807,48,45-49,4,3,0,0,0,0,1
5178,132 29  6,ZZ6,132,29,6,132,1633014,9,2015,1389,9,1991,1101,24,20-24,4,0,1,0,0,2,1
5179,132 30  2,ZZ6,132,30,2,132,1633014,9,2015,1389,4,1993,1120,22,20-24,1,0,0,0,0,1,0
5180,132 30  4,ZZ6,132,30,4,132,1633014,9,2015,1389,6,1975,906,40,40-44,4,2,2,0,0,0,0
5181,132 30  5,ZZ6,132,30,5,132,1633014,9,2015,1389,3,1992,1107,23,20-24,0,0,0,0,0,0,0
5182,132 30  6,ZZ6,132,30,6,132,1633014,9,2015,1389,8,1998,1184,17,15-19,0,0,0,0,0,0,0
5183,132 31  2,ZZ6,132,31,2,132,1633014,9,2015,1389,8,1990,1088,25,25-29,2,1,1,0,0,0,0
5184,132 31  3,ZZ6,132,31,3,132,1633014,9,2015,1389,4,1993,1120,22,20-24,0,0,0,0,0,0,0
5185,132 31  4,ZZ6,132,31,4,132,1633014,9,2015,1389,2,1998,1178,17,15-19,0,0,0,0,0,0,0
5186,133  1  1,ZZ6,133,1,1,133,1211460,7,2015,1387,6,1980,966,35,35-39,4,2,2,0,0,0,0
5187,133  4  3,ZZ6,133,4,3,133,1211460,7,2015,1387,4,1980,964,35,35-39,8,0,1,2,4,1,0
5188,133  4  4,ZZ6,133,4,4,133,1211460,7,2015,1387,11,1997,1175,17,15-19,1,0,1,0,0,0,0
5189,133  5  3,ZZ6,133,5,3,133,1211460,7,2015,1387,5,1999,1193,16,15-19,0,0,0,0,0,0,0
5190,133  7  2,ZZ6,133,7,2,133,1211460,6,2015,1386,4,1988,1060,27,25-29,6,3,0,0,0,1,2
5191,133  9  1,ZZ6,133,9,1,133,1211460,7,2015,1387,3,1983,999,32,30-34,6,2,1,1,0,2,0
5192,133 10  2,ZZ6,133,10,2,133,1211460,6,2015,1386,5,1980,965,35,35-39,5,2,1,1,0,1,0
5193,133 13  2,ZZ6,133,13,2,133,1211460,7,2015,1387,2,1980,962,35,35-39,5,0,2,0,2,1,0
5194,133 14  2,ZZ6,133,14,2,133,1211460,7,2015,1387,6,1970,846,45,45-49,11,3,3,1,1,3,0
5195,133 14  3,ZZ6,133,14,3,133,1211460,7,2015,1387,1,1981,973,34,30-34,6,0,0,2,1,2,1
5196,133 14  4,ZZ6,133,14,4,133,1211460,7,2015,1387,5,1996,1157,19,15-19,1,0,0,0,1,0,0
5197,133 15  2,ZZ6,133,15,2,133,1211460,7,2015,1387,5,1992,1109,23,20-24,3,0,2,0,0,1,0
5198,133 16  2,ZZ6,133,16,2,133,1211460,7,2015,1387,9,1990,1089,24,20-24,1,0,1,0,0,0,0
5199,133 17  2,ZZ6,133,17,2,133,1211460,7,2015,1387,4,1967,808,48,45-49,7,1,2,3,1,0,0
5200,133 17  3,ZZ6,133,17,3,133,1211460,7,2015,1387,3,1990,1083,25,25-29,4,2,0,0,1,1,0
5201,133 18  2,ZZ6,133,18,2,133,1211460,6,2015,1386,5,1980,965,35,35-39,9,1,2,1,2,1,2
5202,133 19  2,ZZ6,133,19,2,133,1211460,7,2015,1387,1,1984,1009,31,30-34,6,1,0,1,3,1,0
5203,133 19  3,ZZ6,133,19,3,133,1211460,7,2015,1387,2,1983,998,32,30-34,1,0,0,1,0,0,0
5204,133 19  9,ZZ6,133,19,9,133,1211460,7,2015,1387,5,1986,1037,29,25-29,3,0,0,0,1,1,1
5205,133 20  2,ZZ6,133,20,2,133,1211460,7,2015,1387,3,1988,1059,27,25-29,2,0,2,0,0,0,0
5206,133 22  1,ZZ6,133,22,1,133,1211460,6,2015,1386,6,1975,906,40,40-44,8,2,2,0,2,2,0
5207,133 23  2,ZZ6,133,23,2,133,1211460,6,2015,1386,4,1980,964,35,35-39,6,0,1,1,1,1,2
5208,133 25  1,ZZ6,133,25,1,133,1211460,6,2015,1386,7,1994,1135,20,20-24,3,2,0,0,0,1,0
5209,133 26  1,ZZ6,133,26,1,133,1211460,6,2015,1386,5,1988,1061,27,25-29,2,1,1,0,0,0,0
5210,133 27  1,ZZ6,133,27,1,133,1211460,7,2015,1387,6,1987,1050,28,25-29,4,1,0,0,1,1,1
5211,133 27  3,ZZ6,133,27,3,133,1211460,7,2015,1387,6,1983,1002,32,30-34,8,1,1,0,2,3,1
5212,133 28  2,ZZ6,133,28,2,133,1211460,7,2015,1387,6,1984,1014,31,30-34,4,3,0,0,1,0,0
5213,133 29  2,ZZ6,133,29,2,133,1211460,7,2015,1387,5,1979,953,36,35-39,6,1,1,2,1,1,0
5214,133 30  5,ZZ6,133,30,5,133,1211460,7,2015,1387,4,1997,1168,18,15-19,1,0,0,1,0,0,0
5215,134  1  2,ZZ6,134,1,2,134,773012,7,2015,1387,4,1993,1120,22,20-24,3,0,1,0,0,0,2
5216,134  1  3,ZZ6,134,1,3,134,773012,7,2015,1387,6,1992,1110,23,20-24,2,0,1,0,0,1,0
5217,134  1  7,ZZ6,134,1,7,134,773012,7,2015,1387,2,2000,1202,15,15-19,0,0,0,0,0,0,0
5218,134  2  2,ZZ6,134,2,2,134,773012,7,2015,1387,2,1980,962,35,35-39,8,4,2,2,0,0,0
5219,134  4  4,ZZ6,134,4,4,134,773012,7,2015,1387,3,1983,999,32,30-34,4,2,0,1,1,0,0
5220,134  5  2,ZZ6,134,5,2,134,773012,7,2015,1387,4,1997,1168,18,15-19,1,1,0,0,0,0,0
5221,134  6  2,ZZ6,134,6,2,134,773012,7,2015,1387,12,1979,960,35,35-39,6,0,3,0,0,2,1
5222,134  6  9,ZZ6,134,6,9,134,773012,7,2015,1387,6,1990,1086,25,25-29,3,0,1,1,0,0,1
5223,134  6 11,ZZ6,134,6,11,134,773012,7,2015,1387,4,1995,1144,20,20-24,2,0,1,0,0,1,0
5224,134  6 15,ZZ6,134,6,15,134,773012,7,2015,1387,1,1987,1045,28,25-29,0,0,0,0,0,0,0
5225,134  9  2,ZZ6,134,9,2,134,773012,7,2015,1387,11,1979,959,35,35-39,5,1,2,0,1,0,1
5226,134 10  2,ZZ6,134,10,2,134,773012,7,2015,1387,5,1992,1109,23,20-24,3,0,2,0,0,0,1
5227,134 12  2,ZZ6,134,12,2,134,773012,7,2015,1387,3,1983,999,32,30-34,5,0,2,2,0,1,0
5228,134 14  1,ZZ6,134,14,1,134,773012,7,2015,1387,3,1976,915,39,35-39,10,1,2,1,3,0,3
5229,134 14  3,ZZ6,134,14,3,134,773012,7,2015,1387,5,2000,1205,15,15-19,0,0,0,0,0,0,0
5230,134 15  4,ZZ6,134,15,4,134,773012,7,2015,1387,1,1990,1081,25,25-29,2,0,0,0,0,1,1
5231,134 15  5,ZZ6,134,15,5,134,773012,7,2015,1387,10,1971,862,43,40-44,5,3,0,0,2,0,0
5232,134 15  8,ZZ6,134,15,8,134,773012,7,2015,1387,4,1996,1156,19,15-19,1,0,1,0,0,0,0
5233,134 16  2,ZZ6,134,16,2,134,773012,7,2015,1387,10,1979,958,35,35-39,11,3,0,3,2,3,0
5234,134 17  2,ZZ6,134,17,2,134,773012,7,2015,1387,6,1977,930,38,35-39,9,2,3,1,1,1,1
5235,134 18  2,ZZ6,134,18,2,134,773012,7,2015,1387,5,1994,1133,21,20-24,1,0,1,0,0,0,0
5236,134 19  2,ZZ6,134,19,2,134,773012,7,2015,1387,4,1990,1084,25,25-29,3,1,2,0,0,0,0
5237,134 19  5,ZZ6,134,19,5,134,773012,7,2015,1387,12,1983,1008,31,30-34,4,2,0,1,1,0,0
5238,134 20  2,ZZ6,134,20,2,134,773012,7,2015,1387,12,1965,792,49,45-49,14,1,1,3,0,5,4
5239,134 20  4,ZZ6,134,20,4,134,773012,7,2015,1387,6,1995,1146,20,20-24,2,0,0,0,0,1,1
5240,134 21  2,ZZ6,134,21,2,134,773012,7,2015,1387,6,1990,1086,25,25-29,2,0,2,0,0,0,0
5241,134 24  2,ZZ6,134,24,2,134,773012,7,2015,1387,8,1967,812,47,45-49,2,0,0,0,0,2,0
5242,134 25  2,ZZ6,134,25,2,134,773012,7,2015,1387,9,1989,1077,25,25-29,4,0,0,0,2,1,1
5243,134 27  2,ZZ6,134,27,2,134,773012,7,2015,1387,6,1977,930,38,35-39,5,0,0,0,3,1,1
5244,134 28  2,ZZ6,134,28,2,134,773012,7,2015,1387,8,1983,1004,31,30-34,9,0,3,0,0,3,3
5245,134 29  5,ZZ6,134,29,5,134,773012,7,2015,1387,12,1994,1140,20,20-24,2,0,0,0,0,1,1
5246,134 30  2,ZZ6,134,30,2,134,773012,7,2015,1387,4,1972,868,43,40-44,5,0,1,3,0,0,1
5247,134 30  3,ZZ6,134,30,3,134,773012,7,2015,1387,11,1992,1115,22,20-24,4,1,1,0,0,1,1
5248,134 31  3,ZZ6,134,31,3,134,773012,7,2015,1387,7,1972,871,43,40-44,8,2,0,2,1,3,0
5249,135  1  2,ZZ6,135,1,2,135,439021,7,2015,1387,3,1980,963,35,35-39,3,0,3,0,0,0,0
5250,135  2  2,ZZ6,135,2,2,135,439021,7,2015,1387,1,1999,1189,16,15-19,0,0,0,0,0,0,0
5251,135  4  4,ZZ6,135,4,4,135,439021,7,2015,1387,5,2000,1205,15,15-19,0,0,0,0,0,0,0
5252,135  6  4,ZZ6,135,6,4,135,439021,7,2015,1387,3,1996,1155,19,15-19,0,0,0,0,0,0,0
5253,135  7  3,ZZ6,135,7,3,135,439021,7,2015,1387,1,1978,937,37,35-39,4,2,2,0,0,0,0
5254,135  7  4,ZZ6,135,7,4,135,439021,7,2015,1387,9,1997,1173,17,15-19,1,0,1,0,0,0,0
5255,135  8  2,ZZ6,135,8,2,135,439021,7,2015,1387,5,1995,1145,20,20-24,0,0,0,0,0,0,0
5256,135  9  2,ZZ6,135,9,2,135,439021,7,2015,1387,9,1997,1173,17,15-19,0,0,0,0,0,0,0
5257,135 11  1,ZZ6,135,11,1,135,439021,7,2015,1387,3,1982,987,33,30-34,8,1,1,3,1,1,1
5258,135 12  2,ZZ6,135,12,2,135,439021,7,2015,1387,2,1977,926,38,35-39,7,3,1,0,3,0,0
5259,135 12  3,ZZ6,135,12,3,135,439021,7,2015,1387,2,1998,1178,17,15-19,0,0,0,0,0,0,0
5260,135 13  1,ZZ6,135,13,1,135,439021,7,2015,1387,3,1996,1155,19,15-19,0,0,0,0,0,0,0
5261,135 14  2,ZZ6,135,14,2,135,439021,7,2015,1387,6,1987,1050,28,25-29,3,1,1,1,0,0,0
5262,135 14  3,ZZ6,135,14,3,135,439021,7,2015,1387,6,1999,1194,16,15-19,0,0,0,0,0,0,0
5263,135 16  2,ZZ6,135,16,2,135,439021,7,2015,1387,7,1991,1099,24,20-24,2,0,2,0,0,0,0
5264,135 17  2,ZZ6,135,17,2,135,439021,7,2015,1387,4,1980,964,35,35-39,2,0,1,0,0,0,1
5265,135 19  7,ZZ6,135,19,7,135,439021,7,2015,1387,2,1992,1106,23,20-24,0,0,0,0,0,0,0
