,hhid,Country code and phase,Cluster number,Household number,Respondent's line number,Ultimate area unit,Household sample weight,Month of interview,Year of interview,Date of interview,Number of household members,Number of eligible women in household,Number of eligible men in household,Number of de jure members,Number of de facto members,Number of children 5 and under (de jure),Result of household interview,Day of interview,Number of visits,Interviewer identification,Keyer identification,Ever-married sample,Primary sampling unit,Sample strata for sampling errors,Stratification used in sample design,Region,Type of place of residence,Place of residence,Household selected for male interview,Household weight for male subsample,Field supervisor,Field editor,Office editor,Number of eligible children for height and weight,Cluster altitude in meters,Total adults measured,Household selected for hemoglobin,Household selected for Domestic Violence module,Source of drinking water,Source of non-drinking water,Time to get to water source (minutes),Type of toilet facility,Has electricity,Has radio,Age of head of household
3756,130  2,ZZ6,130,2,1,130,700120,8,2015,1388,11,4,1,11,11,2,completed,28,1,84,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,men's survey,540336,81,82,2,2,NA,5,selected,household selected,unprotected well,NA,0,ventilated improved pit latrine (vip),no,yes,27
3757,130  3,ZZ6,130,3,2,130,700120,8,2015,1388,4,2,0,4,4,1,completed,29,1,85,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,bottled water or sachets,NA,10,pit latrine with slab,no,yes,27
3758,130  4,ZZ6,130,4,1,130,700120,8,2015,1388,3,1,1,3,3,0,completed,28,1,84,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,men's survey,540336,81,82,2,0,NA,2,selected,household selected,unprotected well,NA,30,ventilated improved pit latrine (vip),no,yes,48
3759,130  5,ZZ6,130,5,1,130,700120,8,2015,1388,6,2,0,6,6,2,completed,28,1,85,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,protected well,NA,15,pit latrine with slab,no,yes,22
3760,130  6,ZZ6,130,6,1,130,700120,8,2015,1388,7,1,2,7,7,0,completed,27,1,84,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,men's survey,540336,81,82,2,0,NA,3,selected,household selected,unprotected spring,NA,40,ventilated improved pit latrine (vip),no,yes,42
3761,130  7,ZZ6,130,7,2,130,700120,8,2015,1388,5,1,0,5,5,2,completed,27,1,85,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,protected well,NA,0,pit latrine with slab,no,yes,35
3762,130  9,ZZ6,130,9,1,130,700120,8,2015,1388,5,1,1,5,5,2,completed,28,1,84,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,men's survey,540336,81,82,2,1,NA,2,selected,household selected,unprotected well,NA,0,ventilated improved pit latrine (vip),no,yes,48
3763,130 10,ZZ6,130,10,1,130,700120,8,2015,1388,1,0,1,1,1,0,completed,29,1,84,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,men's survey,540336,81,82,2,0,NA,1,selected,household selected,unprotected well,NA,30,ventilated improved pit latrine (vip),no,yes,23
3764,130 11,ZZ6,130,11,1,130,700120,8,2015,1388,3,1,0,3,3,1,completed,27,1,85,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,bottled water or sachets,NA,10,pit latrine without slab/open pit,no,yes,18
3765,130 12,ZZ6,130,12,1,130,700120,8,2015,1388,5,1,0,5,5,1,completed,27,1,85,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,protected well,NA,0,pit latrine without slab/open pit,no,no,35
3766,130 13,ZZ6,130,13,2,130,700120,8,2015,1388,5,1,0,5,4,2,completed,27,1,84,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,men's survey,540336,81,82,2,1,NA,2,selected,household selected,unprotected spring,NA,0,pit latrine without slab/open pit,no,yes,30
3767,130 14,ZZ6,130,14,1,130,700120,8,2015,1388,12,3,3,12,12,0,completed,27,1,84,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,men's survey,540336,81,82,2,0,NA,6,selected,household selected,unprotected well,NA,10,ventilated improved pit latrine (vip),no,yes,56
3768,130 16,ZZ6,130,16,1,130,700120,8,2015,1388,2,1,1,2,2,0,completed,28,1,84,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,men's survey,540336,81,82,2,0,NA,2,selected,household selected,unprotected well,NA,0,ventilated improved pit latrine (vip),no,no,25
3769,130 17,ZZ6,130,17,1,130,700120,8,2015,1388,1,0,0,1,1,0,completed,27,1,85,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,protected well,NA,10,pit latrine without slab/open pit,no,no,29
3770,130 18,ZZ6,130,18,1,130,700120,8,2015,1388,6,1,0,6,6,0,completed,27,1,85,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,bottled water or sachets,NA,10,pit latrine with slab,no,yes,29
3771,130 19,ZZ6,130,19,1,130,700120,8,2015,1388,8,3,0,8,8,1,completed,28,1,85,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,protected well,NA,0,pit latrine with slab,no,yes,40
3772,130 20,ZZ6,130,20,1,130,700120,8,2015,1388,1,0,0,1,1,0,completed,29,1,85,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,protected well,NA,15,pit latrine with slab,no,yes,25
3773,130 21,ZZ6,130,21,1,130,700120,8,2015,1388,16,6,5,16,16,1,completed,27,1,84,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,men's survey,540336,81,82,2,1,NA,11,selected,household selected,unprotected well,NA,0,ventilated improved pit latrine (vip),no,yes,48
3774,130 22,ZZ6,130,22,1,130,700120,8,2015,1388,4,1,0,4,4,0,completed,27,1,85,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,public tap/standpipe,NA,30,pit latrine with slab,no,yes,35
3775,130 23,ZZ6,130,23,1,130,700120,8,2015,1388,7,2,1,7,7,2,completed,27,1,84,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,men's survey,540336,81,82,2,2,NA,3,selected,household selected,unprotected well,NA,50,ventilated improved pit latrine (vip),no,yes,49
3776,130 24,ZZ6,130,24,1,130,700120,8,2015,1388,13,3,0,13,13,2,completed,28,1,85,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,protected well,NA,15,pit latrine without slab/open pit,no,yes,30
3777,130 25,ZZ6,130,25,1,130,700120,8,2015,1388,8,4,1,8,8,1,completed,28,1,84,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,men's survey,540336,81,82,2,1,NA,5,selected,household selected,bottled water or sachets,NA,0,pit latrine with slab,no,yes,30
3778,130 26,ZZ6,130,26,1,130,700120,8,2015,1388,7,1,2,7,7,2,completed,29,1,84,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,men's survey,540336,81,82,2,1,NA,3,selected,household selected,unprotected well,NA,0,ventilated improved pit latrine (vip),no,yes,51
3779,130 27,ZZ6,130,27,1,130,700120,8,2015,1388,8,1,4,8,8,0,completed,29,1,84,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,men's survey,540336,81,82,2,0,NA,5,selected,household selected,unprotected well,NA,0,ventilated improved pit latrine (vip),no,yes,45
3780,130 28,ZZ6,130,28,1,130,700120,8,2015,1388,2,1,0,2,2,0,completed,29,1,85,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,protected well,NA,0,pit latrine with slab,no,no,18
3781,130 29,ZZ6,130,29,1,130,700120,8,2015,1388,7,3,0,7,7,1,completed,27,1,85,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,protected well,NA,0,pit latrine without slab/open pit,no,no,35
3782,130 30,ZZ6,130,30,1,130,700120,8,2015,1388,8,1,0,8,8,2,completed,27,1,85,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,unprotected well,NA,0,pit latrine without slab/open pit,no,yes,48
3783,130 31,ZZ6,130,31,1,130,700120,8,2015,1388,6,2,0,6,6,1,completed,28,1,85,28,all woman sample,130,3,region 1 - urban,region 1,urban,NA,not selected,0,81,82,2,0,NA,0,not selected,household selected,public tap/standpipe,NA,10,pit latrine with slab,no,yes,25
3784,131  1,ZZ6,131,1,1,131,150553,6,2015,1386,3,1,1,3,3,1,completed,23,1,124,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,men's survey,172942,121,122,3,1,NA,2,selected,household selected,rainwater,NA,0,no facility/bush/field,no,yes,35
3785,131  2,ZZ6,131,2,1,131,150553,6,2015,1386,8,1,0,8,7,1,completed,22,1,126,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,men's survey,172942,121,122,3,1,NA,2,selected,household selected,protected well,NA,,no facility/bush/field,no,no,38
3786,131  3,ZZ6,131,3,1,131,150553,6,2015,1386,8,1,0,8,7,1,completed,22,1,126,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,men's survey,172942,121,122,3,1,NA,2,selected,household selected,protected well,NA,,no facility/bush/field,no,no,85
3787,131  4,ZZ6,131,4,1,131,150553,6,2015,1386,4,1,1,4,4,0,completed,21,1,124,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,men's survey,172942,121,122,3,0,NA,2,selected,household selected,rainwater,NA,0,no facility/bush/field,no,no,45
3788,131  6,ZZ6,131,6,1,131,150553,6,2015,1386,11,1,0,11,11,0,completed,22,1,124,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,3,0,NA,0,not selected,household selected,rainwater,NA,0,no facility/bush/field,no,yes,55
3789,131  7,ZZ6,131,7,1,131,150553,6,2015,1386,4,1,0,4,4,1,completed,21,1,126,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,3,0,NA,0,not selected,household selected,protected well,NA,180,no facility/bush/field,no,no,42
3790,131  8,ZZ6,131,8,1,131,150553,6,2015,1386,4,1,0,4,4,0,completed,23,1,126,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,3,0,NA,0,not selected,household selected,unprotected well,NA,,no facility/bush/field,no,no,23
3791,131  9,ZZ6,131,9,1,131,150553,6,2015,1386,4,1,0,4,4,2,completed,22,1,124,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,3,0,NA,0,not selected,household selected,rainwater,NA,0,no facility/bush/field,no,yes,26
3792,131 10,ZZ6,131,10,1,131,150553,6,2015,1386,6,0,1,6,5,1,completed,22,2,124,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,men's survey,172942,121,122,3,1,NA,2,selected,household selected,rainwater,NA,0,no facility/bush/field,no,yes,22
3793,131 11,ZZ6,131,11,1,131,150553,6,2015,1386,4,1,0,4,4,1,completed,21,1,124,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,3,0,NA,0,not selected,household selected,rainwater,NA,0,no facility/bush/field,no,no,37
3794,131 12,ZZ6,131,12,1,131,150553,6,2015,1386,5,0,1,4,4,1,completed,22,1,124,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,men's survey,172942,121,122,3,0,NA,2,selected,household selected,rainwater,NA,0,no facility/bush/field,no,yes,35
3795,131 13,ZZ6,131,13,1,131,150553,6,2015,1386,9,2,0,9,9,0,completed,21,1,126,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,3,0,NA,0,not selected,household selected,protected well,NA,,no facility/bush/field,no,yes,45
3796,131 14,ZZ6,131,14,1,131,150553,6,2015,1386,9,1,0,9,8,2,completed,21,1,126,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,3,0,NA,0,not selected,household selected,protected well,NA,300,no facility/bush/field,no,no,29
3797,131 15,ZZ6,131,15,2,131,150553,6,2015,1386,7,0,2,7,6,1,completed,21,1,126,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,men's survey,172942,121,122,3,0,NA,3,selected,household selected,protected well,NA,,no facility/bush/field,no,no,36
3798,131 16,ZZ6,131,16,1,131,150553,6,2015,1386,3,0,0,3,2,1,completed,23,1,124,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,3,0,NA,0,not selected,household selected,rainwater,NA,0,no facility/bush/field,no,yes,30
3799,131 17,ZZ6,131,17,1,131,150553,6,2015,1386,3,0,1,3,1,0,completed,21,1,124,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,men's survey,172942,121,122,3,0,NA,3,selected,household selected,rainwater,NA,0,no facility/bush/field,no,yes,28
3800,131 19,ZZ6,131,19,1,131,150553,6,2015,1386,6,1,0,6,6,0,completed,21,1,126,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,3,0,NA,0,not selected,household selected,protected well,NA,,no facility/bush/field,no,yes,40
3801,131 20,ZZ6,131,20,1,131,150553,6,2015,1386,7,1,2,7,7,3,completed,23,1,124,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,men's survey,172942,121,122,3,2,NA,3,selected,household selected,rainwater,NA,0,no facility/bush/field,no,yes,46
3802,131 21,ZZ6,131,21,1,131,150553,6,2015,1386,5,1,1,5,5,1,completed,21,1,126,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,men's survey,172942,121,122,3,1,NA,2,selected,household selected,protected well,NA,480,no facility/bush/field,no,yes,29
3803,131 22,ZZ6,131,22,1,131,150553,6,2015,1386,2,1,1,2,2,0,completed,21,1,124,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,men's survey,172942,121,122,3,0,NA,2,selected,household selected,rainwater,NA,0,no facility/bush/field,no,no,29
3804,131 23,ZZ6,131,23,2,131,150553,6,2015,1386,4,0,0,0,4,0,completed,22,1,124,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,3,0,NA,0,not selected,household selected,rainwater,NA,0,no facility/bush/field,no,no,60
3805,131 24,ZZ6,131,24,2,131,150553,6,2015,1386,5,1,0,5,5,2,completed,21,1,124,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,3,0,NA,0,not selected,household selected,rainwater,NA,0,no facility/bush/field,no,yes,35
3806,131 25,ZZ6,131,25,3,131,150553,6,2015,1386,3,1,2,1,3,0,completed,22,1,126,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,men's survey,172942,121,122,3,0,NA,3,selected,household selected,protected well,NA,300,no facility/bush/field,no,no,35
3807,131 26,ZZ6,131,26,1,131,150553,6,2015,1386,7,2,2,7,7,1,completed,23,1,126,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,men's survey,172942,121,122,3,1,NA,4,selected,household selected,protected well,NA,,no facility/bush/field,no,yes,30
3808,131 28,ZZ6,131,28,1,131,150553,6,2015,1386,7,0,0,3,7,0,completed,21,1,126,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,3,0,NA,0,not selected,household selected,protected well,NA,360,no facility/bush/field,no,no,85
3809,131 29,ZZ6,131,29,1,131,150553,6,2015,1386,5,1,1,5,5,0,completed,22,1,124,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,men's survey,172942,121,122,3,0,NA,2,selected,household selected,rainwater,NA,0,no facility/bush/field,no,yes,60
3810,131 30,ZZ6,131,30,2,131,150553,6,2015,1386,3,1,0,3,3,1,completed,22,1,126,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,3,0,NA,0,not selected,household selected,protected well,NA,,no facility/bush/field,no,no,46
3811,131 31,ZZ6,131,31,1,131,150553,6,2015,1386,11,2,0,11,11,2,completed,22,1,126,20,all woman sample,131,10,region 1 - rural,region 1,rural,NA,not selected,0,121,122,3,0,NA,0,not selected,household selected,protected well,NA,,no facility/bush/field,no,no,56
3812,132  1,ZZ6,132,1,1,132,1672693,9,2015,1389,5,1,0,5,5,1,completed,12,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,not selected,0,91,222,6,0,NA,0,not selected,household selected,tube well or borehole,NA,50,pit latrine without slab/open pit,no,no,36
3813,132  2,ZZ6,132,2,1,132,1672693,9,2015,1389,6,2,2,6,6,2,completed,10,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,men's survey,1921326,91,222,6,2,NA,4,selected,household selected,tube well or borehole,NA,8,pit latrine with slab,no,yes,55
3814,132  3,ZZ6,132,3,1,132,1672693,9,2015,1389,9,1,0,9,9,3,completed,12,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,not selected,0,91,222,6,0,NA,0,not selected,household selected,tube well or borehole,NA,45,ventilated improved pit latrine (vip),no,yes,40
3815,132  4,ZZ6,132,4,1,132,1672693,9,2015,1389,6,1,0,6,6,1,completed,12,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,not selected,0,91,222,6,0,NA,0,not selected,household selected,tube well or borehole,NA,8,pit latrine without slab/open pit,no,no,38
3816,132  5,ZZ6,132,5,1,132,1672693,9,2015,1389,8,2,0,8,8,1,completed,11,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,not selected,0,91,222,6,0,NA,0,not selected,household selected,tube well or borehole,NA,6,pit latrine without slab/open pit,no,yes,40
3817,132  6,ZZ6,132,6,2,132,1672693,9,2015,1389,6,1,3,6,6,0,completed,10,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,men's survey,1921326,91,222,6,0,NA,4,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,40,pit latrine without slab/open pit,no,yes,55
3818,132  7,ZZ6,132,7,1,132,1672693,9,2015,1389,16,2,4,16,16,5,completed,10,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,men's survey,1921326,91,222,6,3,NA,6,selected,household selected,tube well or borehole,NA,5,pit latrine without slab/open pit,no,yes,28
3819,132  8,ZZ6,132,8,2,132,1672693,9,2015,1389,6,1,1,6,6,1,completed,10,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,men's survey,1921326,91,222,6,1,NA,2,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,50,pit latrine with slab,no,yes,64
3820,132  9,ZZ6,132,9,3,132,1672693,9,2015,1389,8,2,0,8,8,2,completed,11,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,not selected,0,91,222,6,0,NA,0,not selected,household selected,tube well or borehole,NA,5,pit latrine with slab,no,yes,70
3821,132 10,ZZ6,132,10,1,132,1672693,9,2015,1389,6,1,0,6,6,1,completed,9,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,not selected,0,91,222,6,0,NA,0,not selected,household selected,tube well or borehole,NA,10,pit latrine with slab,no,yes,42
3822,132 11,ZZ6,132,11,1,132,1672693,9,2015,1389,6,2,0,6,6,1,completed,12,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,not selected,0,91,222,6,0,NA,0,not selected,household selected,tube well or borehole,NA,5,pit latrine with slab,no,yes,32
3823,132 13,ZZ6,132,13,1,132,1672693,9,2015,1389,13,4,3,13,13,1,completed,9,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,men's survey,1921326,91,222,6,1,NA,7,selected,household selected,tube well or borehole,NA,6,pit latrine without slab/open pit,no,yes,45
3824,132 14,ZZ6,132,14,1,132,1672693,9,2015,1389,4,2,1,4,4,1,completed,9,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,men's survey,1921326,91,222,6,1,NA,3,selected,household selected,tube well or borehole,NA,40,pit latrine with slab,no,yes,51
3825,132 15,ZZ6,132,15,1,132,1672693,9,2015,1389,7,1,0,7,7,2,completed,11,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,not selected,0,91,222,6,0,NA,0,not selected,household selected,tube well or borehole,NA,8,pit latrine without slab/open pit,no,no,45
3826,132 16,ZZ6,132,16,2,132,1672693,9,2015,1389,6,1,1,6,6,2,completed,10,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,men's survey,1921326,91,222,6,2,NA,2,selected,household selected,tube well or borehole,NA,10,pit latrine without slab/open pit,no,yes,72
3827,132 17,ZZ6,132,17,1,132,1672693,9,2015,1389,7,1,0,7,7,1,completed,11,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,not selected,0,91,222,6,0,NA,0,not selected,household selected,tube well or borehole,NA,5,pit latrine with slab,no,yes,26
3828,132 18,ZZ6,132,18,1,132,1672693,9,2015,1389,5,2,0,5,5,0,completed,12,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,not selected,0,91,222,6,0,NA,0,not selected,household selected,tube well or borehole,NA,5,pit latrine without slab/open pit,no,no,42
3829,132 19,ZZ6,132,19,1,132,1672693,9,2015,1389,6,1,0,6,6,0,completed,11,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,not selected,0,91,222,6,0,NA,0,not selected,household selected,tube well or borehole,NA,7,pit latrine without slab/open pit,no,yes,28
3830,132 20,ZZ6,132,20,2,132,1672693,9,2015,1389,4,1,0,4,4,0,completed,12,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,not selected,0,91,222,6,0,NA,0,not selected,household selected,tube well or borehole,NA,8,pit latrine without slab/open pit,no,yes,28
3831,132 21,ZZ6,132,21,1,132,1672693,9,2015,1389,5,2,1,5,5,1,completed,10,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,men's survey,1921326,91,222,6,1,NA,3,selected,household selected,tube well or borehole,NA,3,pit latrine without slab/open pit,no,yes,29
3832,132 22,ZZ6,132,22,1,132,1672693,9,2015,1389,13,2,2,13,13,3,completed,10,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,men's survey,1921326,91,222,6,3,NA,4,selected,household selected,tube well or borehole,NA,50,pit latrine without slab/open pit,no,yes,30
3833,132 23,ZZ6,132,23,2,132,1672693,9,2015,1389,10,4,1,10,10,1,completed,9,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,men's survey,1921326,91,222,6,1,NA,5,selected,household selected,tube well or borehole,NA,8,ventilated improved pit latrine (vip),no,yes,78
3834,132 24,ZZ6,132,24,1,132,1672693,9,2015,1389,14,2,0,14,14,2,completed,11,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,not selected,0,91,222,6,0,NA,0,not selected,household selected,tube well or borehole,NA,45,pit latrine with slab,no,yes,42
3835,132 25,ZZ6,132,25,1,132,1672693,9,2015,1389,6,1,0,6,6,2,completed,12,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,not selected,0,91,222,6,0,NA,0,not selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,50,pit latrine without slab/open pit,no,yes,49
3836,132 26,ZZ6,132,26,1,132,1672693,9,2015,1389,8,2,1,8,8,2,completed,10,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,men's survey,1921326,91,222,6,1,NA,3,selected,household selected,tube well or borehole,NA,7,pit latrine with slab,no,yes,38
3837,132 27,ZZ6,132,27,1,132,1672693,9,2015,1389,6,1,0,6,6,1,completed,12,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,not selected,0,91,222,6,0,NA,0,not selected,household selected,tube well or borehole,NA,5,pit latrine with slab,no,yes,75
3838,132 28,ZZ6,132,28,1,132,1672693,9,2015,1389,4,1,1,4,4,1,completed,9,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,men's survey,1921326,91,222,6,1,NA,2,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,50,pit latrine without slab/open pit,no,no,31
3839,132 29,ZZ6,132,29,1,132,1672693,9,2015,1389,7,2,3,7,7,1,completed,9,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,men's survey,1921326,91,222,6,1,NA,5,selected,household selected,tube well or borehole,NA,50,pit latrine without slab/open pit,no,yes,48
3840,132 30,ZZ6,132,30,1,132,1672693,9,2015,1389,10,4,3,10,10,2,completed,9,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,men's survey,1921326,91,222,6,2,NA,7,selected,household selected,tube well or borehole,NA,5,pit latrine without slab/open pit,no,no,26
3841,132 31,ZZ6,132,31,1,132,1672693,9,2015,1389,8,3,1,8,8,3,completed,9,1,72,28,all woman sample,132,9,region 1 - rural,region 1,rural,NA,men's survey,1921326,91,222,6,2,NA,4,selected,household selected,tube well or borehole,NA,8,pit latrine without slab/open pit,no,yes,43
3842,133  1,ZZ6,133,1,1,133,1232897,7,2015,1387,6,1,0,6,6,1,completed,1,2,24,7,all woman sample,133,5,region 4 - rural,region 4,rural,NA,not selected,0,21,22,6,0,NA,0,not selected,household selected,unprotected spring,NA,45,no facility/bush/field,no,no,35
3843,133  2,ZZ6,133,2,1,133,1232897,7,2015,1387,2,0,1,2,2,0,completed,1,3,26,7,all woman sample,133,5,region 4 - rural,region 4,rural,NA,men's survey,1412740,21,22,6,0,NA,1,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,20,no facility/bush/field,no,no,45
3844,133  3,ZZ6,133,3,1,133,1232897,7,2015,1387,1,0,0,1,1,0,completed,2,1,24,7,all woman sample,133,5,region 4 - rural,region 4,rural,NA,not selected,0,21,22,6,0,NA,0,not selected,household selected,unprotected spring,NA,35,no facility/bush/field,no,no,30
3845,133  4,ZZ6,133,4,4,133,1232897,7,2015,1387,5,2,0,5,5,1,completed,2,1,24,7,all woman sample,133,5,region 4 - rural,region 4,rural,NA,not selected,0,21,22,6,0,NA,0,not selected,household selected,unprotected spring,NA,,pit latrine without slab/open pit,no,no,63
3846,133  5,ZZ6,133,5,1,133,1232897,7,2015,1387,5,1,0,5,5,0,completed,2,1,24,7,all woman sample,133,5,region 4 - rural,region 4,rural,NA,not selected,0,21,22,6,0,NA,0,not selected,household selected,unprotected spring,NA,25,no facility/bush/field,no,no,61
3847,133  7,ZZ6,133,7,1,133,1232897,6,2015,1386,5,1,1,5,5,1,completed,30,1,24,7,all woman sample,133,5,region 4 - rural,region 4,rural,NA,men's survey,1412740,21,22,6,1,NA,2,selected,household selected,unprotected spring,NA,15,no facility/bush/field,no,yes,40
3848,133  8,ZZ6,133,8,1,133,1232897,6,2015,1386,4,0,0,4,4,2,completed,30,1,26,7,all woman sample,133,5,region 4 - rural,region 4,rural,NA,men's survey,1412740,21,22,6,2,NA,0,selected,household selected,river/dam/lake/ponds/stream/canal/irrigation channel,NA,50,no facility/bush/field,no,no,65
3849,133  9,ZZ6,133,9,1,133,1232897,6,2015,1386,4,1,0,4,4,1,completed,30,1,24,7,all woman sample,133,5,region 4 - rural,region 4,rural,NA,men's survey,1412740,21,22,6,1,NA,1,selected,household selected,unprotected well,NA,40,no facility/bush/field,no,yes,32
3850,133 10,ZZ6,133,10,1,133,1232897,6,2015,1386,5,1,1,5,5,1,completed,30,1,24,7,all woman sample,133,5,region 4 - rural,region 4,rural,NA,men's survey,1412740,21,22,6,1,NA,2,selected,household selected,unprotected well,NA,20,no facility/bush/field,no,yes,39
3851,133 11,ZZ6,133,11,1,133,1232897,7,2015,1387,3,0,0,3,3,1,completed,1,1,24,7,all woman sample,133,5,region 4 - rural,region 4,rural,NA,men's survey,1412740,21,22,6,1,NA,0,selected,household selected,unprotected well,NA,,no facility/bush/field,no,no,70
